Module,Transition,Spectrum_RelErr,Baseline_MSE,Baseline_MAE,Baseline_RelErr,Inner_MSE,Inner_MAE,Inner_RelErr,Ambient_MSE,Ambient_MAE,Ambient_RelErr,Drift_Ratio
Lang_L1.self_attn.o_proj,Stage1->Stage2,7.383905018693784e-05,5.720625093766102e-09,4.8738706975252205e-05,0.0033423743021835776,2.7919089115597603e-12,1.331222724409614e-06,7.383868652102595e-05,2.7919089115661023e-12,1.331222724411053e-06,7.383868652110984e-05,0.9999999999977285
Lang_L1.self_attn.o_proj,Base->Stage2,7.70804782422689e-05,6.2174644807228416e-09,5.149806833498749e-05,0.003484496211068295,3.042414930835356e-12,1.3891320066995698e-06,7.70801519349623e-05,3.0424149308375386e-12,1.3891320067000537e-06,7.708015193498994e-05,0.9999999999992826
Lang_L1.mlp.gate_proj,Base->Stage1,2.5202497134550662e-05,1.3638686548516865e-10,2.9537630997298435e-06,0.0009216481274766977,8.461033242277654e-13,4.6508828206783554e-07,7.259230248312752e-05,1.0198379997542978e-13,1.4620484579775638e-07,2.52025488905707e-05,8.296448302883507
Lang_L1.mlp.gate_proj,Stage1->Stage2,0.00010518400176644212,1.2943841444557292e-09,1.3705129394096273e-05,0.002839238618576124,4.808272274947515e-12,1.1639627729499515e-06,0.0001730472999620859,1.7764035711449108e-12,5.057317779993648e-07,0.00010518192627737946,2.7067454451515953
Lang_L1.mlp.gate_proj,Base->Stage2,9.862251004291383e-05,1.364772419810599e-09,1.4033973634871668e-05,0.002915415242418978,3.851006113144002e-12,1.0385523485637382e-06,0.00015486647218097694,1.5616947311159785e-12,4.920892405766397e-07,9.862076655323735e-05,2.465914776053636
Lang_L1.mlp.up_proj,Base->Stage1,1.587324673494304e-05,5.1456541762908966e-11,1.2428139527745333e-06,0.0006897743201110673,3.2287164680727157e-13,1.9545299330098077e-07,5.4638866172941946e-05,2.7249428628732958e-14,5.965246224279675e-08,1.5873234210914123e-05,11.84874924191335
Lang_L1.mlp.up_proj,Stage1->Stage2,5.471409914820778e-05,5.499305106302575e-10,6.389757484132592e-06,0.002254973100161421,1.1917174756345839e-12,5.127898673784026e-07,0.00010497215470011368,3.2376139139242527e-13,1.9696573209945938e-07,5.4714191572298266e-05,3.680851106147258
Lang_L1.mlp.up_proj,Base->Stage2,5.583744798180298e-05,5.772550221455756e-10,6.581043486078958e-06,0.002310315638170872,8.635658362632063e-13,4.6737504276102507e-07,8.93583588973547e-05,3.37191787120568e-13,1.995606805631617e-07,5.5837498247555214e-05,2.561052401772838
Lang_L1.mlp.down_proj,Base->Stage1,3.098770513899098e-05,2.219700195533304e-10,6.989769031924961e-06,0.0015142037747419913,2.853291626230314e-12,9.171319836072689e-07,0.00017167626068428685,9.29610571591914e-14,1.5210597732734673e-07,3.098758216277961e-05,30.693407685157744
Lang_L1.mlp.down_proj,Stage1->Stage2,7.110337288814735e-05,1.5045163487604192e-09,2.361482348485915e-05,0.003942155566651052,1.0415281140972523e-11,1.958616847944631e-06,0.00032799770244906827,4.894474570797865e-13,3.324869356012173e-07,7.110306812682651e-05,21.279671577238766
Lang_L1.mlp.down_proj,Base->Stage2,7.315055573182672e-05,1.6524075486223095e-09,2.491426042922602e-05,0.004131368063829337,7.773488456797166e-12,1.6658207805686973e-06,0.00028336309139739564,5.18033068813131e-13,3.271950161527481e-07,7.314995189571094e-05,15.005776512698421
Lang_L2.self_attn.q_proj,Base->Stage1,2.0559266780819608e-05,7.320779670383663e-10,1.165097327881148e-05,0.000930035483695081,3.577451489754717e-13,4.737755801820013e-07,2.0559271752977998e-05,3.5774514897458866e-13,4.737755801813134e-07,2.0559271752952624e-05,1.0000000000024682
Lang_L2.self_attn.q_proj,Stage1->Stage2,6.288420842926808e-05,6.048821352910687e-09,4.691211343442253e-05,0.0026733452450697966,3.3468904417729028e-12,1.4350193545679664e-06,6.288403745740024e-05,3.3468904417683286e-12,1.4350193545670317e-06,6.288403745735727e-05,1.0000000000013667
Lang_L2.self_attn.q_proj,Base->Stage2,6.480703745598285e-05,6.485226236248753e-09,4.926015579008458e-05,0.0027681029304004044,3.554699123092681e-12,1.4764888033077935e-06,6.480687692942877e-05,3.5546991230944147e-12,1.476488803308041e-06,6.480687692944459e-05,0.9999999999995123
Lang_L2.self_attn.k_proj,Base->Stage1,1.538818634253613e-05,5.342853255699239e-10,9.01222548332914e-06,0.0005987732207589581,4.294122895809454e-10,1.2593477244254896e-05,0.000536800585202048,3.5287672834303887e-13,4.6566664312034947e-07,1.5388179901756963e-05,1216.8903616775337
Lang_L2.self_attn.k_proj,Stage1->Stage2,5.342133706142027e-05,4.89569238424227e-09,3.8084097839341524e-05,0.0018125281512787754,3.911257895535017e-09,4.358903893005707e-05,0.001620078006251224,4.252829928766873e-12,1.6055259420756523e-06,5.342157741088716e-05,919.6835897618655
Lang_L2.self_attn.k_proj,Base->Stage2,5.561085581450695e-05,5.2363112238927584e-09,4.0098143100464334e-05,0.0018745214974999888,4.135958417858574e-09,4.5383885234578765e-05,0.00166596464907871,4.608581817716189e-12,1.6666104377636871e-06,5.561108273844928e-05,897.4471066042989
Lang_L2.self_attn.v_proj,Base->Stage1,3.567190149499164e-05,7.965202372084268e-10,1.395166663131775e-05,0.0014584996800547998,6.639261592067325e-10,1.7221266535412824e-05,0.0013315817099765065,4.764740477537113e-13,5.419952163206848e-07,3.567200797002407e-05,1393.4151552151586
Lang_L2.self_attn.v_proj,Stage1->Stage2,0.00010891155793202801,5.40862961808939e-09,4.8890641466625695e-05,0.003800578216812219,4.429143131165843e-09,5.011613814838911e-05,0.0034392671482096353,4.441524672988578e-12,1.6555008391311237e-06,0.0001089110871802371,997.2123217286096
Lang_L2.self_attn.v_proj,Base->Stage2,0.0001107887740188351,5.893738999573202e-09,5.1677660358739885e-05,0.0039673590245915,4.800864531921871e-09,5.25576218292925e-05,0.003580682218264429,4.5959812015978915e-12,1.6846874093926738e-06,0.00011078862583881161,1044.5788007689735
Lang_L2.self_attn.o_proj,Base->Stage1,2.850227526947257e-05,8.558330435919899e-10,1.3913234377133099e-05,0.0012928985933006428,4.159293918653272e-13,5.14253276858679e-07,2.8502289256507004e-05,4.159293918643999e-13,5.142532768580572e-07,2.850228925647523e-05,1.0000000000022295
Lang_L2.self_attn.o_proj,Stage1->Stage2,7.433301755979442e-05,5.841655703880003e-09,4.947771527840164e-05,0.003377825498583125,2.8289394464747848e-12,1.339318175847304e-06,7.433289666401068e-05,2.8289394464732815e-12,1.3393181758469199e-06,7.433289666399093e-05,1.0000000000005314
Lang_L2.self_attn.o_proj,Base->Stage2,7.763574068769877e-05,6.3660090013933395e-09,5.236415945484088e-05,0.0035261668277906098,3.085914950049469e-12,1.398865261464722e-06,7.763565251872196e-05,3.08591495004881e-12,1.3988652614645933e-06,7.763565251871365e-05,1.0000000000002136
Lang_L2.mlp.gate_proj,Base->Stage1,0.00017455099229498963,2.1560680925910032e-10,5.042170947074042e-06,0.0011857170044139436,3.050333100378863e-11,3.3605863563191554e-06,0.00044598827942794376,4.672144929773392e-12,1.1814241146228232e-06,0.0001745452219958046,6.528763868048096
Lang_L2.mlp.gate_proj,Stage1->Stage2,0.0002731939821965285,1.6248312584090623e-09,1.7308665108798712e-05,0.0032548704925127415,1.774959248646254e-10,8.085123634521296e-06,0.0010757807623295848,1.1445707248048432e-11,1.9243426923150346e-06,0.00027318125588449805,15.507641512925261
Lang_L2.mlp.gate_proj,Base->Stage2,0.0004432642662723696,1.7811099124584313e-09,1.8759645345604945e-05,0.0034078066086523544,1.9822060005417092e-10,8.557494837956123e-06,0.0011368521140604395,3.012985947714862e-11,3.042149174819836e-06,0.00044322896477482323,6.578875689895178
Lang_L2.mlp.up_proj,Base->Stage1,4.1553603225372234e-05,1.5388698198290913e-10,3.0764176856461553e-06,0.0008431296522224249,1.514372028799795e-11,2.2717026797485737e-06,0.00026449027726227004,3.7379750379309214e-13,3.7917158977219184e-07,4.1553883762144155e-05,40.5131659102262
Lang_L2.mlp.up_proj,Stage1->Stage2,6.0304011097278394e-05,1.2810844105122187e-09,1.2573760928504439e-05,0.0024326867673603015,1.0866664048625813e-10,6.239367491303841e-06,0.0007085091120021385,7.872371051868168e-13,5.050429661537022e-07,6.030455228238471e-05,138.03546577046924
Lang_L2.mlp.up_proj,Base->Stage2,8.748098594650568e-05,1.3947093442207288e-09,1.343572416765753e-05,0.0025382779374807916,1.140784636667954e-10,6.354254442024926e-06,0.0007259373663421207,1.656709481589876e-12,7.926510065018583e-07,8.748236163245205e-05,68.85846005862113
Lang_L2.mlp.down_proj,Base->Stage1,3.731946255052351e-05,2.623508049673956e-10,7.623629048360119e-06,0.0012600273530213573,3.03742705321589e-11,3.620022699605941e-06,0.00042873772667100017,2.301440717860439e-13,3.2231386416961535e-07,3.731974509476006e-05,131.9793740348728
Lang_L2.mlp.down_proj,Stage1->Stage2,9.078964697083856e-05,1.7014233300298633e-09,2.2123780539061554e-05,0.0032088706291461765,1.6814530420275198e-10,8.453318022529936e-06,0.0010087612427167735,1.362056458387774e-12,7.805280928633746e-07,9.079116132691979e-05,123.44958475640622
Lang_L2.mlp.down_proj,Base->Stage2,0.00011669631847723454,1.865200288431832e-09,2.3787918293160274e-05,0.0033597638532835423,1.6603605024800768e-10,8.187305914910357e-06,0.0010024142069473992,2.2503151367123343e-12,1.0066548636010382e-06,0.00011669914847034445,73.78346594183384
Lang_L3.self_attn.q_proj,Base->Stage1,2.1266413250848864e-05,7.715433868288752e-10,1.1946200785831196e-05,0.0009636476029592215,3.7576147357462674e-13,4.882564329002974e-07,2.126641056556471e-05,3.757614735770552e-13,4.882564329018402e-07,2.1266410565633428e-05,0.9999999999935372
