Module,Transition,Domain,Spectrum_RelErr,Baseline_MSE,Baseline_MAE,Baseline_RelErr,Inner_MSE,Inner_MAE,Inner_RelErr,Ambient_MSE,Ambient_MAE,Ambient_RelErr,Drift_Ratio,e_src,e_L,e_R,e_tgt
Vis_L13.mlp.up_proj,Base->Stage2,Vis,0.0001069747706143404,1.0246882028946833e-08,7.374374564130853e-05,0.005644364988094527,6.100930679816896e-09,6.18502795966065e-05,0.004355291888102917,3.680538262211497e-12,1.5251196974603556e-06,0.00010697317589012044,1657.6191429541277,0.16337136999979324,0.16337136999979332,1.2358663494209353e-13,0.004013966155395065
Vis_L13.mlp.down_proj,Base->Stage1,Vis,3.951802586787296e-05,1.1637799009344126e-09,1.851672961723222e-05,0.001928735458755268,6.753231600549619e-10,1.9617992258967858e-05,0.0014692410728451692,4.88556759585166e-13,5.525370354617326e-07,3.9517981342004546e-05,1382.2818880417894,0.054352070020702394,1.1827417570867146e-13,0.054352070020702394,0.0014624315610516688
Vis_L13.mlp.down_proj,Stage1->Stage2,Vis,0.00011097961722963727,9.536598019627597e-09,7.086704093881093e-05,0.005521119851122299,5.390289551123039e-09,5.808171476475669e-05,0.004150844688750478,3.853114971832992e-12,1.5567624323906024e-06,0.00011097787899204182,1398.9433459751624,0.15355542415849363,1.2806052766500106e-13,0.1535554241584936,0.004106993559855689
Vis_L13.mlp.down_proj,Base->Stage2,Vis,0.0001161908424936852,1.0207890273753022e-08,7.371136756842898e-05,0.005712134604483192,5.7327564441495146e-09,5.9960465604879984e-05,0.004280674266815623,4.22345961376131e-12,1.6264503864894313e-06,0.00011618889172143953,1357.3603084709177,0.15835637863266622,1.1827761620747766e-13,0.15835637863266624,0.004299839160387459
Vis_L14.attn.qkv,Base->Stage1,Vis,3.972577721321022e-05,1.1128602582817587e-09,1.810588943944443e-05,0.0019353583565735867,6.527664890653275e-10,1.9288413401674783e-05,0.001482245023162543,4.688800336880625e-13,5.42458422205876e-07,3.972573535479509e-05,1392.1823113918333,0.05662292793805775,0.05662292793805774,1.177043795905378e-13,0.001518103798026856
Vis_L14.attn.qkv,Stage1->Stage2,Vis,0.0001275716211881206,9.260139691166736e-09,6.997743439330683e-05,0.0055826057008210766,5.220013918293798e-09,5.717099483310677e-05,0.0041914473588510505,4.8353286593912264e-12,1.7366597376391998e-06,0.0001275678349824198,1079.5572102747208,0.16010268685248324,0.16010268685248327,1.1544969245397568e-13,0.004875100760665339
Vis_L14.attn.qkv,Base->Stage2,Vis,0.00012793680643755046,9.898138263766508e-09,7.270309577095032e-05,0.005771715872278881,5.523821320061469e-09,5.886950745307656e-05,0.004311694646724043,4.863041160993277e-12,1.7438521302493228e-06,0.00012793287459256775,1135.8779696064153,0.1646992806288,0.16469928062880002,1.1770479292442514e-13,0.004889051023922142
Vis_L14.attn.proj,Base->Stage1,Vis,6.41025960656465e-05,1.198711826111499e-09,1.9224867709866088e-05,0.0020816485183353392,1.1367110980608794e-12,8.477077862982023e-07,6.410251320604345e-05,1.1367110980609545e-12,8.477077862982861e-07,6.410251320604559e-05,0.9999999999999339,1.1080653524038714e-13,6.287217656488018e-14,6.310465988613698e-14,0.0013646931754292125
Vis_L14.attn.proj,Stage1->Stage2,Vis,0.0002077312442663617,9.070885610917367e-09,6.953505040662832e-05,0.005726120453030871,1.1937231916428377e-11,2.7147306664138456e-06,0.000207724369789966,1.193723191643131e-11,2.714730666414313e-06,0.00020772436978999155,0.9999999999997542,1.1021833217580817e-13,6.288164103971688e-14,6.24925623888335e-14,0.004422438328782106
Vis_L14.attn.proj,Base->Stage2,Vis,0.00021123282990253667,9.725162738169659e-09,7.236238486612478e-05,0.005929035805340776,1.2343027553738754e-11,2.7664834859532566e-06,0.0002112255665152268,1.2343027553737067e-11,2.766483485953169e-06,0.00021122556651521223,1.0000000000001366,1.1080863446102053e-13,6.28732934182963e-14,6.310824868975103e-14,0.0044969785794511845
